|     | tool     |   seed | bug_id             |   num_patches |   time (seconds) |
|----:|:---------|-------:|:-------------------|--------------:|-----------------:|
|   0 | Cardumen |      0 | DEPTH_FIRST_SEARCH |             7 |               13 |
|   1 | Cardumen |      0 | LEVENSHTEIN        |             5 |              118 |
|   2 | Cardumen |      0 | MERGESORT          |             1 |               11 |
|   3 | Cardumen |      0 | RPN_EVAL           |             1 |               24 |
|   4 | Cardumen |     10 | DEPTH_FIRST_SEARCH |             7 |               18 |
|   5 | Cardumen |     10 | GET_FACTORS        |             1 |                2 |
|   6 | Cardumen |     10 | HANOI              |             1 |              131 |
|   7 | Cardumen |     10 | LEVENSHTEIN        |             4 |               21 |
|   8 | Cardumen |     10 | RPN_EVAL           |             1 |               20 |
|   9 | Cardumen |     11 | DEPTH_FIRST_SEARCH |             7 |                4 |
|  10 | Cardumen |     11 | GET_FACTORS        |             1 |               10 |
|  11 | Cardumen |     11 | HANOI              |             1 |              140 |
|  12 | Cardumen |     11 | MERGESORT          |             1 |                3 |
|  13 | Cardumen |     11 | RPN_EVAL           |             1 |               28 |
|  14 | Cardumen |     12 | DEPTH_FIRST_SEARCH |             7 |               14 |
|  15 | Cardumen |     12 | HANOI              |             1 |              144 |
|  16 | Cardumen |     12 | LEVENSHTEIN        |             5 |               28 |
|  17 | Cardumen |     12 | RPN_EVAL           |             1 |               14 |
|  18 | Cardumen |     13 | DEPTH_FIRST_SEARCH |             7 |               10 |
|  19 | Cardumen |     13 | HANOI              |             1 |              122 |
|  20 | Cardumen |     13 | LEVENSHTEIN        |             5 |               67 |
|  21 | Cardumen |     13 | MERGESORT          |             1 |               13 |
|  22 | Cardumen |     13 | RPN_EVAL           |             1 |               28 |
|  23 | Cardumen |     14 | DEPTH_FIRST_SEARCH |             7 |               14 |
|  24 | Cardumen |     14 | HANOI              |             1 |              123 |
|  25 | Cardumen |     14 | LEVENSHTEIN        |             5 |               48 |
|  26 | Cardumen |     14 | MERGESORT          |             1 |               24 |
|  27 | Cardumen |     14 | RPN_EVAL           |             1 |               35 |
|  28 | Cardumen |     15 | DEPTH_FIRST_SEARCH |             7 |               16 |
|  29 | Cardumen |     15 | HANOI              |             1 |              127 |
|  30 | Cardumen |     15 | LEVENSHTEIN        |             5 |               28 |
|  31 | Cardumen |     15 | RPN_EVAL           |             1 |               23 |
|  32 | Cardumen |     16 | DEPTH_FIRST_SEARCH |             7 |                5 |
|  33 | Cardumen |     16 | HANOI              |             1 |              144 |
|  34 | Cardumen |     16 | RPN_EVAL           |             1 |               20 |
|  35 | Cardumen |     17 | DEPTH_FIRST_SEARCH |             7 |               16 |
|  36 | Cardumen |     17 | HANOI              |             1 |              116 |
|  37 | Cardumen |     17 | LEVENSHTEIN        |             5 |              160 |
|  38 | Cardumen |     17 | RPN_EVAL           |             1 |               21 |
|  39 | Cardumen |     18 | DEPTH_FIRST_SEARCH |             7 |               15 |
|  40 | Cardumen |     18 | HANOI              |             1 |              166 |
|  41 | Cardumen |     18 | LEVENSHTEIN        |             4 |               40 |
|  42 | Cardumen |     18 | MERGESORT          |             1 |                2 |
|  43 | Cardumen |     19 | DEPTH_FIRST_SEARCH |             7 |               10 |
|  44 | Cardumen |     19 | GET_FACTORS        |             1 |                3 |
|  45 | Cardumen |     19 | MERGESORT          |             1 |               26 |
|  46 | Cardumen |     19 | RPN_EVAL           |             1 |               39 |
|  47 | Cardumen |      1 | GET_FACTORS        |             1 |                9 |
|  48 | Cardumen |      1 | LEVENSHTEIN        |             4 |              109 |
|  49 | Cardumen |      1 | MERGESORT          |             1 |                6 |
|  50 | Cardumen |     20 | DEPTH_FIRST_SEARCH |             7 |               21 |
|  51 | Cardumen |     20 | HANOI              |             1 |              156 |
|  52 | Cardumen |     20 | LEVENSHTEIN        |             4 |               12 |
|  53 | Cardumen |     20 | RPN_EVAL           |             1 |               14 |
|  54 | Cardumen |     21 | GET_FACTORS        |             1 |                6 |
